,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.947482796,0.902350814,0,0.65,0,0.925555556,0.499966722,0.8972278
recall,0.995812714,0.941509434,0,0.297142857,0,0.925555556,0.446893001,0.925555556
f1-score,0.971046771,0.921514312,0,0.407843137,0,0.925555556,0.460080844,0.908337816
support,2627,1590,86,175,22,0.925555556,4500,4500
