,0,1,accuracy,macro avg,weighted avg
precision,0.647058824,0.787878788,0.74,0.717468806,0.737183601
recall,0.611111111,0.8125,0.74,0.711805556,0.74
f1-score,0.628571429,0.8,0.74,0.714285714,0.738285714
support,36,64,0.74,100,100
