,0,1,2,3,accuracy,macro avg,weighted avg
precision,0.0,0.7037037037037037,0.6666666666666666,0.4782608695652174,0.5797101449275363,0.4621578099838969,0.4618310812387687
recall,0.0,0.5135135135135135,0.9333333333333333,0.8918918918918919,0.5797101449275363,0.5846846846846847,0.5797101449275363
f1-score,0.0,0.59375,0.7777777777777778,0.6226415094339622,0.5797101449275363,0.498542321802935,0.4952160810318111
support,34.0,37.0,30.0,37.0,0.5797101449275363,138.0,138.0
