,0,1,accuracy,macro avg,weighted avg
precision,0.87755102,0.699507389,0.848214286,0.788529205,0.83882075
recall,0.936721992,0.529850746,0.848214286,0.733286369,0.848214286
f1-score,0.906171601,0.602972399,0.848214286,0.754572,0.84021593
support,964,268,0.848214286,1232,1232
