d1_mean,d2_mean,d3_mean,d4_mean,validty_mean,d1_std,d2_std,d3_std,d4_std,validty_std,method,normalize,tsr,transformer,epochs
1.0,0.8033132647537109,96.56078862371345,2.812107950779633,1.0,0.0,0.02914327477930258,3.722983958816695,0.6031265336737216,0.0,FO,True,True,,
1.0,0.8060673473068221,97.62372428844172,2.812891006864709,1.0,0.0,0.030449430715553304,6.021785044259253,0.6034418306964789,0.0,GRAD,True,True,,
1.0,0.8008551372528686,96.31396159130006,2.809845845359182,1.0,0.0,0.03194842182608714,4.446296722257721,0.6028077696898085,0.0,FA,True,True,,
1.0,0.15310918337234664,12.164498981778678,1.5877923024,1.0,0.0,0.10326613436541124,8.624151265089758,0.5806766358817369,0.0,,,,authentic_opposing_information,30
