complexity_mean,<quantus.metrics.complexity.effective_complexity.EffectiveComplexity object at 0x7f89dcbe5cd0>_mean,complexity_std,<quantus.metrics.complexity.effective_complexity.EffectiveComplexity object at 0x7f89dcbe5cd0>_std,method,normalize,tsr,transformer,epochs
3.5216864808156876,94.0,0.4025449733030147,1.4142135623730951,FO,True,True,,
2.9890964386126955,94.5,0.557015709806112,0.7071067811865476,GRAD,True,True,,
3.642059399916164,95.0,0.2425045206112716,0.0,FA,True,True,,
4.215361290753584,96.0,0.04482455283410307,0.0,,,,authentic_opposing_information,30
