d1_mean,d2_mean,d3_mean,d4_mean,validty_mean,d1_std,d2_std,d3_std,d4_std,validty_std,method,normalize,tsr,transformer,epochs
1.0,0.6713642722910262,131.32906685931658,4.13836348302582,1.0,0.0,0.057507503360562894,11.822744271281751,0.472599950115863,0.0,FO,True,True,,
1.0,0.6745743377467546,131.49772777502142,4.136845555587406,1.0,0.0,0.05832180172318095,8.722351092912623,0.4738993650359917,0.0,GRAD,True,True,,
1.0,0.6697934585162371,130.680310855557,4.137949602919903,1.0,0.0,0.058526298893641714,11.077377547138207,0.47278784910545446,0.0,FA,True,True,,
1.0,0.4360430360440663,99.94557245715856,3.5576992539,1.0,0.0,0.2489671051278952,68.37783155617697,1.5486453731949454,0.0,,,,authentic_opposing_information,30
