complexity_mean,<quantus.metrics.complexity.effective_complexity.EffectiveComplexity object at 0x7f3d466e5550>_mean,complexity_std,<quantus.metrics.complexity.effective_complexity.EffectiveComplexity object at 0x7f3d466e5550>_std,method,normalize,tsr,transformer,epochs
3.5926961890594864,124.0,0.18650725799498985,16.97056274847714,FO,True,True,,
3.4358466435440116,137.0,0.07954394081716408,0.0,GRAD,True,True,,
3.601116628205546,121.5,0.23450744308561647,23.33452377915607,FA,True,True,,
4.511633059115449,140.0,0.10777329319753959,0.0,,,,authentic_opposing_information,30
